ts,open,high,low,close,vol,turn
2025-03-31 12:15:00+00:00,2.1978,2.2151,2.1954,2.2124,2052200.0,4526316.31
2025-03-31 12:30:00+00:00,2.2124,2.2406,2.2093,2.2352,2754860.0,6128098.931
2025-03-31 12:45:00+00:00,2.2352,2.29,2.2319,2.2624,7762220.0,17552404.277
2025-03-31 13:00:00+00:00,2.2624,2.2656,2.2424,2.2439,2976250.0,6703341.019
2025-03-31 13:15:00+00:00,2.2439,2.2545,2.2314,2.2416,2108190.0,4723218.204
2025-03-31 13:30:00+00:00,2.2416,2.2473,2.1942,2.1968,6534140.0,14466814.59
2025-03-31 13:45:00+00:00,2.1968,2.2409,2.181,2.2256,6774020.0,14953879.0
2025-03-31 14:00:00+00:00,2.2256,2.2787,2.2251,2.2671,4840350.0,10925537.179
2025-03-31 14:15:00+00:00,2.2671,2.2824,2.248,2.2576,2996100.0,6775190.203
2025-03-31 14:30:00+00:00,2.2576,2.2863,2.2546,2.2694,2732270.0,6209341.159
2025-03-31 14:45:00+00:00,2.2694,2.296,2.2673,2.2857,3061320.0,6994529.23
2025-03-31 15:00:00+00:00,2.2857,2.3076,2.2798,2.2804,2912900.0,6683440.237
2025-03-31 15:15:00+00:00,2.2804,2.314,2.2794,2.298,2873710.0,6608122.775
2025-03-31 15:30:00+00:00,2.298,2.3083,2.2916,2.2925,1573510.0,3619607.276
2025-03-31 15:45:00+00:00,2.2925,2.3047,2.2798,2.2843,1253130.0,2872647.723
2025-03-31 16:00:00+00:00,2.2843,2.2992,2.2822,2.2874,2572660.0,5889891.623
2025-03-31 16:15:00+00:00,2.2874,2.3004,2.2816,2.2989,1541390.0,3530319.518
2025-03-31 16:30:00+00:00,2.2989,2.3045,2.2869,2.2924,1010350.0,2318112.504
2025-03-31 16:45:00+00:00,2.2924,2.301,2.2842,2.2878,1532710.0,3515650.564
2025-03-31 17:00:00+00:00,2.2878,2.3065,2.287,2.3026,1089350.0,2502331.732
2025-03-31 17:15:00+00:00,2.3026,2.3044,2.287,2.2892,720960.0,1653780.367
2025-03-31 17:30:00+00:00,2.2892,2.2946,2.2625,2.266,2371880.0,5397559.19
2025-03-31 17:45:00+00:00,2.266,2.279,2.2592,2.2676,1433170.0,3251867.832
