ts,open,high,low,close,vol,turn
2025-03-31 12:15:00+00:00,1809.66,1819.46,1808.4,1816.64,15559.36,28239580.9347
2025-03-31 12:30:00+00:00,1816.64,1821.84,1813.3,1820.31,18766.46,34111852.3061
2025-03-31 12:45:00+00:00,1820.31,1846.16,1818.0,1833.59,84196.21,154444281.402
2025-03-31 13:00:00+00:00,1833.59,1836.75,1824.8,1825.13,16939.25,31020583.2791
2025-03-31 13:15:00+00:00,1825.13,1829.31,1821.35,1823.16,16778.71,30628681.6849
2025-03-31 13:30:00+00:00,1823.16,1825.63,1794.08,1803.87,83952.88,151655374.9435
2025-03-31 13:45:00+00:00,1803.87,1823.37,1797.33,1817.51,40715.33,73722955.3176
2025-03-31 14:00:00+00:00,1817.51,1831.73,1817.25,1829.21,33573.59,61323659.4172
2025-03-31 14:15:00+00:00,1829.21,1835.98,1820.47,1823.61,43199.01,78875643.4703
2025-03-31 14:30:00+00:00,1823.61,1841.79,1823.61,1831.91,41038.56,75316758.0148
2025-03-31 14:45:00+00:00,1831.91,1845.97,1831.61,1839.02,36081.82,66385896.4728
2025-03-31 15:00:00+00:00,1839.02,1853.46,1838.45,1839.59,60357.0,111510207.453
2025-03-31 15:15:00+00:00,1839.59,1847.77,1837.65,1840.05,18178.0,33492836.4355
2025-03-31 15:30:00+00:00,1840.05,1844.16,1836.85,1841.04,33946.68,62501499.4069
2025-03-31 15:45:00+00:00,1841.04,1847.99,1840.76,1841.39,19467.03,35906097.5311
2025-03-31 16:00:00+00:00,1841.39,1846.29,1833.73,1834.7,16345.08,30065127.6833
2025-03-31 16:15:00+00:00,1834.7,1846.32,1834.0,1845.65,12095.31,22244271.2029
2025-03-31 16:30:00+00:00,1845.65,1846.28,1841.21,1843.52,11217.16,20682299.1477
2025-03-31 16:45:00+00:00,1843.52,1846.58,1839.31,1839.5,8212.8,15129374.6913
2025-03-31 17:00:00+00:00,1839.5,1846.17,1837.65,1843.49,7125.23,13123996.1662
2025-03-31 17:15:00+00:00,1843.49,1843.98,1836.4,1838.61,10362.0,19054457.5413
2025-03-31 17:30:00+00:00,1838.61,1841.67,1819.53,1821.99,31472.05,57593278.0135
2025-03-31 17:45:00+00:00,1821.99,1827.99,1816.34,1824.48,25840.89,47079752.7578
2025-03-31 18:00:00+00:00,1824.48,1839.59,1824.41,1834.24,19329.77,35416842.1111
2025-03-31 18:15:00+00:00,1834.24,1840.49,1832.75,1839.81,7790.97,14306569.4374
2025-03-31 18:30:00+00:00,1839.81,1846.46,1838.14,1841.89,10724.16,19762005.9773
2025-03-31 18:45:00+00:00,1841.89,1843.5,1838.17,1838.92,9026.36,16612020.5686
2025-03-31 19:00:00+00:00,1838.92,1845.0,1838.36,1842.99,11244.53,20706877.2937
2025-03-31 19:15:00+00:00,1842.99,1843.48,1832.78,1834.7,10346.48,19006624.0985
2025-03-31 19:30:00+00:00,1834.7,1836.99,1832.12,1832.45,9508.75,17443588.6182
2025-03-31 19:45:00+00:00,1832.45,1833.04,1823.5,1826.96,22209.06,40607580.4125
2025-03-31 20:00:00+00:00,1826.96,1834.0,1825.0,1830.91,12680.8,23209246.922
2025-03-31 20:15:00+00:00,1830.91,1833.72,1829.57,1831.6,3544.4,6491797.6543
