ts,open,high,low,close,vol,turn
2025-01-17 16:00:00+00:00,0.14416,0.14713,0.14393,0.14638,8278144.0,1204696.99044
2025-01-17 20:00:00+00:00,0.14638,0.14804,0.14602,0.14647,4913048.0,721988.05858
2025-01-18 00:00:00+00:00,0.14647,0.14841,0.1414,0.14221,11626764.0,1685627.33389
2025-01-18 04:00:00+00:00,0.14221,0.14318,0.1371,0.13786,13192223.0,1845135.54793
2025-01-18 08:00:00+00:00,0.13786,0.1387,0.1357,0.13764,10503866.0,1440226.01163
2025-01-18 12:00:00+00:00,0.13764,0.13769,0.13238,0.13386,15497204.0,2094878.62686
2025-01-18 16:00:00+00:00,0.13386,0.13518,0.12941,0.13504,19621933.0,2586035.70649
2025-01-18 20:00:00+00:00,0.13504,0.13534,0.13215,0.13474,8935813.0,1196904.52857
2025-01-19 00:00:00+00:00,0.13474,0.13901,0.13452,0.13615,8337145.0,1138009.47676
2025-01-19 04:00:00+00:00,0.13615,0.13618,0.12937,0.13101,12430998.0,1644336.49284
2025-01-19 08:00:00+00:00,0.13101,0.13104,0.12117,0.12187,32756253.0,4091778.84351
2025-01-19 12:00:00+00:00,0.12187,0.14233,0.12172,0.14148,39438577.0,5320174.31946
2025-01-19 16:00:00+00:00,0.14148,0.14663,0.14065,0.14652,24292813.0,3492974.3108
2025-01-19 20:00:00+00:00,0.14652,0.1485,0.1274,0.13221,38423334.0,5262283.20786
2025-01-20 00:00:00+00:00,0.13221,0.13228,0.12613,0.12946,20598395.0,2651473.34835
2025-01-20 04:00:00+00:00,0.12946,0.13864,0.12748,0.13541,23185036.0,3081762.88974
2025-01-20 08:00:00+00:00,0.13541,0.13949,0.13357,0.13605,18197988.0,2471653.15898
2025-01-20 12:00:00+00:00,0.13605,0.13626,0.13064,0.13193,12259073.0,1632012.19037
2025-01-20 16:00:00+00:00,0.13193,0.13543,0.12717,0.13446,22135787.0,2905342.12633
2025-01-20 20:00:00+00:00,0.13446,0.13505,0.1306,0.13219,4567367.0,606158.92786
2025-01-21 00:00:00+00:00,0.13219,0.13269,0.12913,0.13103,6270882.0,820868.69327
2025-01-21 04:00:00+00:00,0.13103,0.13107,0.12856,0.13029,5070640.0,657517.06361
2025-01-21 08:00:00+00:00,0.13029,0.13418,0.12972,0.13321,6088860.0,806148.50655
2025-01-21 12:00:00+00:00,0.13321,0.13638,0.13281,0.13512,6577823.0,886095.82788
2025-01-21 16:00:00+00:00,0.13512,0.14429,0.13512,0.14091,27486310.0,3847462.97579
2025-01-21 20:00:00+00:00,0.14091,0.14138,0.13738,0.13933,7940740.0,1106741.16542
2025-01-22 00:00:00+00:00,0.13933,0.14635,0.13863,0.1456,12204057.0,1746398.44716
