ts,open,high,low,close,vol,turn
2025-03-31 12:15:00+00:00,123.71,124.14,123.55,123.95,55368.2,6856404.715
2025-03-31 12:30:00+00:00,123.95,124.55,123.75,124.42,73070.0,9072911.603
2025-03-31 12:45:00+00:00,124.42,126.09,124.17,125.82,546048.3,68555174.123
2025-03-31 13:00:00+00:00,125.82,126.18,125.38,125.76,201255.0,25314229.741
2025-03-31 13:15:00+00:00,125.76,126.12,125.2,125.35,184881.6,23216830.221
2025-03-31 13:30:00+00:00,125.35,125.54,123.54,123.67,510858.9,63481662.203
2025-03-31 13:45:00+00:00,123.67,125.87,123.13,125.41,540512.3,67431609.167
2025-03-31 14:00:00+00:00,125.41,126.54,125.36,126.5,359302.8,45311077.398
2025-03-31 14:15:00+00:00,126.5,126.99,125.82,125.82,300803.8,38013526.582
2025-03-31 14:30:00+00:00,125.82,127.13,125.82,126.27,204157.3,25844519.412
2025-03-31 14:45:00+00:00,126.27,127.14,126.26,126.64,265996.9,33707784.497
2025-03-31 15:00:00+00:00,126.64,127.74,126.64,126.71,353789.1,45017640.151
2025-03-31 15:15:00+00:00,126.71,127.78,126.68,127.42,196081.1,24962546.677
2025-03-31 15:30:00+00:00,127.42,127.73,126.76,126.81,262367.8,33395631.406
2025-03-31 15:45:00+00:00,126.81,127.33,126.63,126.71,105401.6,13385344.661
2025-03-31 16:00:00+00:00,126.71,127.3,126.15,126.27,134533.7,17031450.874
2025-03-31 16:15:00+00:00,126.27,126.88,126.04,126.81,102088.7,12903975.124
2025-03-31 16:30:00+00:00,126.81,126.84,126.26,126.4,60357.2,7635418.193
2025-03-31 16:45:00+00:00,126.4,126.68,125.76,125.92,57864.3,7299658.186
2025-03-31 17:00:00+00:00,125.92,126.49,125.7,126.32,92400.4,11651533.419
2025-03-31 17:15:00+00:00,126.32,126.36,125.77,125.9,54021.7,6805408.833
2025-03-31 17:30:00+00:00,125.9,126.07,124.07,124.09,323230.0,40363491.948
2025-03-31 17:45:00+00:00,124.09,124.5,123.66,123.96,384085.9,47659123.208
2025-03-31 18:00:00+00:00,123.96,125.04,123.96,124.76,208174.5,25913853.522
2025-03-31 18:15:00+00:00,124.76,125.32,124.61,125.13,141120.3,17637878.638
2025-03-31 18:30:00+00:00,125.13,126.44,125.08,125.96,244061.5,30726944.985
2025-03-31 18:45:00+00:00,125.96,126.04,125.42,125.56,185022.3,23257492.846
2025-03-31 19:00:00+00:00,125.56,126.15,125.51,125.97,47395.3,5961120.196
2025-03-31 19:15:00+00:00,125.97,126.01,125.38,125.51,48783.1,6130840.827
2025-03-31 19:30:00+00:00,125.51,125.93,125.38,125.71,64955.3,8160732.219
2025-03-31 19:45:00+00:00,125.71,125.78,125.02,125.14,110019.7,13790773.274
2025-03-31 20:00:00+00:00,125.14,125.65,124.99,125.47,66146.0,8288993.349
2025-03-31 20:15:00+00:00,125.47,125.9,125.34,125.78,32498.2,4084243.286
2025-03-31 20:30:00+00:00,125.78,125.87,125.5,125.79,40557.7,5097888.791
2025-03-31 20:45:00+00:00,125.79,125.82,125.18,125.29,42468.8,5328061.601
2025-03-31 21:00:00+00:00,125.29,126.05,125.28,126.02,39130.0,4918889.081
2025-03-31 21:15:00+00:00,126.02,126.19,125.63,125.65,32313.5,4069921.015
2025-03-31 21:30:00+00:00,125.65,126.09,125.64,125.8,25212.7,3173847.39
2025-03-31 21:45:00+00:00,125.8,125.99,125.56,125.66,19684.2,2476367.139
2025-03-31 22:00:00+00:00,125.66,125.83,125.05,125.15,189376.2,23749842.551
2025-03-31 22:15:00+00:00,125.15,125.2,124.75,125.06,124775.4,15587783.275
2025-03-31 22:30:00+00:00,125.06,125.39,124.98,125.07,77757.6,9734157.992
2025-03-31 22:45:00+00:00,125.07,125.48,125.01,125.46,38128.7,4773641.568
2025-03-31 23:00:00+00:00,125.46,125.71,125.29,125.69,65548.7,8226120.065
2025-03-31 23:15:00+00:00,125.69,126.09,124.92,125.09,75950.5,9521833.068
2025-03-31 23:30:00+00:00,125.09,125.47,124.92,125.09,38030.8,4762265.914
2025-03-31 23:45:00+00:00,125.09,125.09,124.38,124.45,129274.9,16110461.15
2025-04-01 00:00:00+00:00,124.45,124.95,124.26,124.3,73007.3,9095068.392
2025-04-01 00:15:00+00:00,124.3,125.14,124.16,124.93,58033.1,7235731.782
2025-04-01 00:30:00+00:00,124.93,125.11,124.69,124.8,22441.7,2802125.821
2025-04-01 00:45:00+00:00,124.8,124.99,123.95,124.41,81227.1,10099115.203
2025-04-01 01:00:00+00:00,124.41,124.47,123.66,124.27,80388.9,9970454.608
2025-04-01 01:15:00+00:00,124.27,124.65,124.03,124.48,33324.2,4143764.767
2025-04-01 01:30:00+00:00,124.48,124.58,123.88,124.05,86687.0,10760082.788
2025-04-01 01:45:00+00:00,124.05,124.68,124.05,124.43,53126.2,6613144.729
2025-04-01 02:00:00+00:00,124.43,124.99,124.36,124.99,44794.3,5585643.168
2025-04-01 02:15:00+00:00,124.99,125.35,124.91,124.98,131931.9,16503333.457
2025-04-01 02:30:00+00:00,124.98,125.41,124.78,125.35,82560.0,10333853.225
2025-04-01 02:45:00+00:00,125.35,126.24,125.35,126.19,163018.0,20515065.544
2025-04-01 03:00:00+00:00,126.19,126.4,126.02,126.31,87201.3,11005677.819
2025-04-01 03:15:00+00:00,126.31,126.67,126.09,126.11,150295.0,19001749.673
2025-04-01 03:30:00+00:00,126.11,126.2,125.68,125.83,66382.5,8364771.153
2025-04-01 03:45:00+00:00,125.83,126.0,125.67,125.99,48082.0,6049099.717
2025-04-01 04:00:00+00:00,125.99,126.22,125.72,125.79,34239.9,4312480.183
2025-04-01 04:15:00+00:00,125.79,125.97,125.47,125.85,70802.5,8896552.61
2025-04-01 04:30:00+00:00,125.85,126.17,125.74,125.96,26043.2,3281655.536
2025-04-01 04:45:00+00:00,125.96,126.14,125.82,126.09,28976.8,3650705.404
2025-04-01 05:00:00+00:00,126.09,126.45,125.95,126.27,28147.1,3551544.699
2025-04-01 05:15:00+00:00,126.27,126.7,126.25,126.53,47556.9,6017313.256
2025-04-01 05:30:00+00:00,126.53,126.65,126.15,126.22,29620.0,3741599.035
2025-04-01 05:45:00+00:00,126.22,126.26,125.85,125.91,24294.0,3061644.236
2025-04-01 06:00:00+00:00,125.91,125.99,125.55,125.79,49852.1,6268846.926
2025-04-01 06:15:00+00:00,125.79,126.0,125.67,125.9,30069.4,3784562.399
2025-04-01 06:30:00+00:00,125.9,126.65,125.84,126.4,112473.2,14209612.118
2025-04-01 06:45:00+00:00,126.4,126.68,126.13,126.49,70720.7,8943080.768
2025-04-01 07:00:00+00:00,126.49,126.63,126.26,126.4,63729.8,8056975.594
2025-04-01 07:15:00+00:00,126.4,126.44,126.0,126.24,41995.0,5302124.18
2025-04-01 07:30:00+00:00,126.24,126.36,125.94,126.33,32399.6,4087974.76
