symbol,trades,wins,losses,win_rate,total_pct
SOLUSDT,66,45,21,0.6818181818181818,1.5
BTCUSDT,42,27,15,0.6428571428571429,-1.5
ETHUSDT,59,33,26,0.559322033898305,-9.5
XRPUSDT,65,43,22,0.6615384615384615,-0.5
ATOMUSDT,60,32,28,0.5333333333333333,-12.0
HBARUSDT,57,41,16,0.7192982456140351,4.5
CROUSDT,63,41,22,0.6507936507936508,-1.5
SUIUSDT,62,31,31,0.5,-15.5
LINKUSDT,78,39,39,0.5,-19.5
ADAUSDT,75,56,19,0.7466666666666667,9.0
