entry_ts,exit_ts,pnl_pct
2025-06-13 07:30:00+00:00,2025-06-13 08:00:00+00:00,0.5
2025-06-15 14:00:00+00:00,2025-06-15 14:30:00+00:00,0.5
2025-06-19 13:00:00+00:00,2025-06-19 18:00:00+00:00,0.5
2025-06-19 20:30:00+00:00,2025-06-19 22:00:00+00:00,0.5
2025-06-21 08:30:00+00:00,2025-06-21 09:30:00+00:00,0.5
2025-06-22 20:30:00+00:00,2025-06-22 21:00:00+00:00,0.5
2025-06-24 15:30:00+00:00,2025-06-24 16:00:00+00:00,0.5
2025-06-25 11:00:00+00:00,2025-06-25 13:00:00+00:00,0.5
2025-06-26 01:00:00+00:00,2025-06-26 01:30:00+00:00,0.5
2025-06-26 01:30:00+00:00,2025-06-26 02:00:00+00:00,0.5
2025-06-26 19:30:00+00:00,2025-06-26 20:00:00+00:00,0.5
2025-06-27 01:00:00+00:00,2025-06-27 01:30:00+00:00,0.5
2025-06-27 13:30:00+00:00,2025-06-27 14:00:00+00:00,0.5
2025-06-28 05:00:00+00:00,2025-06-28 05:30:00+00:00,0.5
2025-06-28 16:00:00+00:00,2025-06-28 17:30:00+00:00,0.5
2025-06-29 21:00:00+00:00,2025-06-29 21:30:00+00:00,0.5
2025-06-30 11:30:00+00:00,2025-06-30 12:00:00+00:00,0.5
2025-06-30 15:00:00+00:00,2025-06-30 15:30:00+00:00,0.5
2025-06-30 15:30:00+00:00,2025-06-30 16:00:00+00:00,0.5
2025-06-30 16:30:00+00:00,2025-06-30 19:00:00+00:00,0.5
2025-07-01 01:00:00+00:00,2025-07-01 01:30:00+00:00,0.5
2025-07-01 06:30:00+00:00,2025-07-01 07:00:00+00:00,0.5
2025-07-02 01:00:00+00:00,2025-07-02 01:30:00+00:00,0.5
2025-07-02 13:00:00+00:00,2025-07-02 13:30:00+00:00,0.5
