entry_ts,exit_ts,pnl_pct
2025-06-18 19:00:00+00:00,2025-06-18 19:30:00+00:00,0.5
2025-06-19 09:30:00+00:00,2025-06-19 10:30:00+00:00,0.5
2025-06-19 14:00:00+00:00,2025-06-19 14:30:00+00:00,0.5
2025-06-19 17:00:00+00:00,2025-06-19 17:30:00+00:00,0.5
2025-06-25 21:00:00+00:00,2025-06-25 22:00:00+00:00,-1.5
2025-06-26 01:00:00+00:00,2025-06-26 01:30:00+00:00,0.5
2025-06-30 15:00:00+00:00,2025-06-30 15:30:00+00:00,0.5
2025-07-01 05:30:00+00:00,2025-07-01 06:00:00+00:00,0.5
2025-07-02 01:00:00+00:00,2025-07-02 01:30:00+00:00,0.5
