entry_ts,exit_ts,pnl_pct
2025-06-13 14:30:00+00:00,2025-06-13 15:00:00+00:00,0.5
2025-06-13 17:30:00+00:00,2025-06-13 21:00:00+00:00,0.5
2025-06-18 15:00:00+00:00,2025-06-18 21:30:00+00:00,0.5
2025-06-23 12:30:00+00:00,2025-06-23 13:00:00+00:00,0.5
2025-06-24 09:00:00+00:00,2025-06-24 14:00:00+00:00,0.5
2025-06-24 14:00:00+00:00,2025-06-24 14:30:00+00:00,0.5
2025-06-26 01:30:00+00:00,2025-06-26 02:30:00+00:00,0.5
2025-06-30 15:30:00+00:00,2025-06-30 16:00:00+00:00,0.5
2025-07-01 13:30:00+00:00,2025-07-01 14:00:00+00:00,0.5
