symbol,entry_timestamp,exit_timestamp,side,entry_price,exit_price,pnl_pct,exit_reason,sl_price,tp_price,sl_what_if_hit_tp,sl_what_if_max_profit_pct,sl_what_if_max_loss_pct,params
BTCUSDT,2025-06-25 06:25:00+00:00,2025-06-25 07:45:00+00:00,SHORT,106320.70000,106639.66210,-0.00420,SL,106639.66210,105789.09650,False,-0.00183,-0.01757,ema:10_rsi:14_fixed
BTCUSDT,2025-06-25 07:46:00+00:00,2025-06-25 15:31:00+00:00,SHORT,106665.80000,106985.79740,-0.00420,SL,106985.79740,106132.47100,False,-0.00042,-0.01428,ema:10_rsi:14_fixed
BTCUSDT,2025-06-25 15:31:00+00:00,2025-06-25 17:15:00+00:00,SHORT,107069.50000,107390.70850,-0.00420,SL,107390.70850,106534.15250,False,0.00157,-0.01046,ema:10_rsi:14_fixed
BTCUSDT,2025-06-25 17:15:00+00:00,2025-06-26 02:19:00+00:00,SHORT,107392.50000,107714.67750,-0.00420,SL,107714.67750,106855.53750,False,0.00030,-0.00742,ema:10_rsi:14_fixed
BTCUSDT,2025-06-26 02:19:00+00:00,2025-06-26 03:04:00+00:00,SHORT,107777.50000,108100.83250,-0.00420,SL,108100.83250,107238.61250,True,0.00917,-0.00382,ema:10_rsi:14_fixed
BTCUSDT,2025-06-26 03:04:00+00:00,2025-06-26 05:39:00+00:00,SHORT,108152.20000,107611.43900,0.00380,TP,108476.65660,107611.43900,,,,ema:10_rsi:14_fixed
BTCUSDT,2025-06-26 20:44:00+00:00,2025-06-26 21:15:00+00:00,SHORT,107866.00000,107326.67000,0.00380,TP,108189.59800,107326.67000,,,,ema:10_rsi:14_fixed
BTCUSDT,2025-06-26 21:21:00+00:00,2025-06-27 01:09:00+00:00,LONG,107081.60000,106760.35520,-0.00420,SL,106760.35520,107617.00800,True,0.00546,-0.00222,ema:10_rsi:14_fixed
BTCUSDT,2025-06-25 06:25:00+00:00,2025-06-25 15:31:00+00:00,SHORT,106320.70000,106852.30350,-0.00620,SL,106852.30350,105789.09650,False,-0.00367,-0.01757,ema:10_rsi:14_fixed
BTCUSDT,2025-06-25 15:31:00+00:00,2025-06-26 02:19:00+00:00,SHORT,107069.50000,107604.84750,-0.00620,SL,107604.84750,106534.15250,False,-0.00271,-0.01046,ema:10_rsi:14_fixed
BTCUSDT,2025-06-26 02:19:00+00:00,2025-06-26 21:21:00+00:00,SHORT,107777.50000,107238.61250,0.00380,TP,108316.38750,107238.61250,,,,ema:10_rsi:14_fixed
BTCUSDT,2025-06-26 21:21:00+00:00,2025-06-27 01:09:00+00:00,LONG,107081.60000,106546.19200,-0.00620,SL,106546.19200,107617.00800,True,0.00546,-0.00222,ema:10_rsi:14_fixed
BTCUSDT,2025-06-25 06:25:00+00:00,2025-06-25 15:31:00+00:00,SHORT,106320.70000,107064.94490,-0.00820,SL,107064.94490,105789.09650,False,-0.00367,-0.01757,ema:10_rsi:14_fixed
BTCUSDT,2025-06-25 15:31:00+00:00,2025-06-26 02:54:00+00:00,SHORT,107069.50000,107818.98650,-0.00820,SL,107818.98650,106534.15250,False,0.00262,-0.01046,ema:10_rsi:14_fixed
