symbol,trades,wins,losses,win_rate,total_pct
SOLUSDT,11,11,0,1.0,2.542333043581092
BTCUSDT,4,4,0,1.0,0.9678799448904097
ETHUSDT,13,13,0,1.0,2.5186321524064454
XRPUSDT,13,13,0,1.0,2.4501102048373444
ATOMUSDT,8,8,0,1.0,1.381053360457558
HBARUSDT,6,6,0,1.0,1.556669177737279
CROUSDT,7,7,0,1.0,1.6567226770536871
SUIUSDT,14,13,1,0.9285714285714286,2.889834531228888
LINKUSDT,7,6,1,0.8571428571428571,0.877245806161001
ADAUSDT,6,6,0,1.0,1.0625454926608913
