entry_ts,exit_ts,pnl_pct
2025-06-24 13:30:00+00:00,2025-06-24 13:45:00+00:00,0.09114404373577518
2025-06-24 13:45:00+00:00,2025-06-24 14:00:00+00:00,0.16344013762701118
2025-06-24 23:30:00+00:00,2025-06-24 23:45:00+00:00,0.26043554300212474
2025-06-25 08:45:00+00:00,2025-06-25 09:00:00+00:00,0.28378064091217814
2025-06-25 14:45:00+00:00,2025-06-25 15:00:00+00:00,-0.036785349747301826
2025-06-25 17:15:00+00:00,2025-06-25 17:30:00+00:00,-0.060506706408347294
2025-06-27 01:00:00+00:00,2025-06-27 01:15:00+00:00,0.40968179601432286
2025-06-27 01:15:00+00:00,2025-06-27 01:30:00+00:00,0.19964442182865416
2025-06-27 08:30:00+00:00,2025-06-27 08:45:00+00:00,0.2889185284895838
2025-06-30 15:15:00+00:00,2025-06-30 15:30:00+00:00,0.3927869570019572
2025-07-02 01:15:00+00:00,2025-07-02 01:30:00+00:00,0.15541567379313298
2025-07-02 13:00:00+00:00,2025-07-02 13:15:00+00:00,0.2535820944504648
2025-07-02 13:30:00+00:00,2025-07-02 13:45:00+00:00,0.11709437170688908
