timestamp,open,high,low,close,volume,turnover,move_pct
2025-05-22 08:59:24.544000+00:00,179.76,180.86,179.11,179.7,606291.4,109096133.176,0.9770532075261013
2025-05-22 08:59:24.544000+00:00,179.76,180.86,179.11,179.7,606291.4,109096133.176,0.9770532075261013
2025-05-22 10:00:34.560000+00:00,179.7,179.83,178.08,178.22,506260.5,90522642.981,0.9827044025157232
2025-05-22 10:00:34.560000+00:00,179.7,179.83,178.08,178.22,506260.5,90522642.981,0.9827044025157232
2025-05-22 10:59:33.504000+00:00,178.22,178.83,177.22,178.05,358921.6,63898803.56,0.9084753413835988
2025-05-22 10:59:33.504000+00:00,178.22,178.83,177.22,178.05,358921.6,63898803.56,0.9084753413835988
2025-05-22 12:00:43.520000+00:00,178.05,178.85,177.4,178.63,368856.6,65701731.671,0.8173618940247963
2025-05-22 12:00:43.520000+00:00,178.05,178.85,177.4,178.63,368856.6,65701731.671,0.8173618940247963
2025-05-22 12:59:42.464000+00:00,178.63,179.08,176.94,177.2,683856.3,121594886.128,1.2094495309144426
2025-05-22 12:59:42.464000+00:00,178.63,179.08,176.94,177.2,683856.3,121594886.128,1.2094495309144426
2025-05-22 14:00:52.480000+00:00,177.2,179.64,177.15,178.73,798227.3,142527318.836,1.4055884843352981
2025-05-22 14:00:52.480000+00:00,177.2,179.64,177.15,178.73,798227.3,142527318.836,1.4055884843352981
2025-05-22 14:59:51.424000+00:00,178.73,179.89,178.46,178.97,313075.1,56086867.793,0.8013000112069811
2025-05-22 14:59:51.424000+00:00,178.73,179.89,178.46,178.97,313075.1,56086867.793,0.8013000112069811
2025-05-22 16:01:01.440000+00:00,178.97,180.35,177.86,178.31,486126.9,86933703.136,1.3999775104014285
2025-05-22 16:01:01.440000+00:00,178.97,180.35,177.86,178.31,486126.9,86933703.136,1.3999775104014285
2025-05-22 17:00:00.384000+00:00,178.31,179.94,177.93,179.03,410173.9,73453288.572,1.1296577305681959
2025-05-22 17:00:00.384000+00:00,178.31,179.94,177.93,179.03,410173.9,73453288.572,1.1296577305681959
2025-05-22 17:58:59.328000+00:00,179.03,179.92,178.46,179.31,210956.1,37835095.845,0.8181105009525829
2025-05-22 17:58:59.328000+00:00,179.03,179.92,178.46,179.31,210956.1,37835095.845,0.8181105009525829
2025-05-22 19:00:09.344000+00:00,179.31,179.47,177.48,177.82,568451.9,101325935.324,1.121253098940731
2025-05-22 19:00:09.344000+00:00,179.31,179.47,177.48,177.82,568451.9,101325935.324,1.121253098940731
2025-05-22 19:59:08.288000+00:00,177.82,178.64,177.52,178.48,320732.6,57123538.018,0.6309148264984092
2025-05-22 19:59:08.288000+00:00,177.82,178.64,177.52,178.48,320732.6,57123538.018,0.6309148264984092
2025-05-22 21:00:18.304000+00:00,178.48,178.48,177.21,178.04,193513.1,34396196.374,0.7166638451554549
2025-05-22 21:00:18.304000+00:00,178.48,178.48,177.21,178.04,193513.1,34396196.374,0.7166638451554549
2025-05-22 21:59:17.248000+00:00,178.04,179.3,177.92,178.04,227677.3,40667474.021,0.7756294964028911
2025-05-22 21:59:17.248000+00:00,178.04,179.3,177.92,178.04,227677.3,40667474.021,0.7756294964028911
2025-05-22 23:00:27.264000+00:00,178.04,180.03,178.04,179.62,229777.5,41219028.082,1.1177263536284032
2025-05-22 23:00:27.264000+00:00,178.04,180.03,178.04,179.62,229777.5,41219028.082,1.1177263536284032
2025-05-22 23:59:26.208000+00:00,179.62,181.84,179.22,180.73,693107.0,125141698.249,1.4618904140162954
2025-05-22 23:59:26.208000+00:00,179.62,181.84,179.22,180.73,693107.0,125141698.249,1.4618904140162954
2025-05-23 01:00:36.224000+00:00,180.73,183.57,180.29,183.11,686682.7,125072536.854,1.819291142048922
2025-05-23 01:00:36.224000+00:00,180.73,183.57,180.29,183.11,686682.7,125072536.854,1.819291142048922
2025-05-23 01:59:35.168000+00:00,183.11,185.35,183.1,183.76,889148.6,163791989.121,1.2288367012561443
2025-05-23 01:59:35.168000+00:00,183.11,185.35,183.1,183.76,889148.6,163791989.121,1.2288367012561443
2025-05-23 03:00:45.184000+00:00,183.76,185.38,183.71,184.98,376749.5,69514260.303,0.9090414239834455
2025-05-23 03:00:45.184000+00:00,183.76,185.38,183.71,184.98,376749.5,69514260.303,0.9090414239834455
2025-05-23 03:59:44.128000+00:00,184.98,185.35,181.91,182.59,608828.9,111432074.353,1.8910450222637556
2025-05-23 03:59:44.128000+00:00,184.98,185.35,181.91,182.59,608828.9,111432074.353,1.8910450222637556
2025-05-23 05:00:54.144000+00:00,182.59,183.03,181.32,181.92,362787.5,66046749.062,0.9430840502978204
2025-05-23 05:00:54.144000+00:00,182.59,183.03,181.32,181.92,362787.5,66046749.062,0.9430840502978204
2025-05-23 05:59:53.088000+00:00,181.92,182.04,180.04,180.79,589956.9,106549379.097,1.1108642523883583
2025-05-23 05:59:53.088000+00:00,181.92,182.04,180.04,180.79,589956.9,106549379.097,1.1108642523883583
