cluster,count,avg_range,avg_drawdown,median_recovery,avg_gain_4h
5,94,2.3427922597275592,-0.3032695112217281,29.4912,2.4575126987386877
0,410,1.3442671585581119,-0.37068295251225447,58.9824,1.5124078540942025
6,408,1.2094716120517446,-0.44662246157154734,58.9824,1.1102980727710312
3,654,0.8269717011260972,-0.259977269842558,58.9824,0.9921140177595578
9,566,1.0933769933135649,-0.6671294169505333,61.16693333333333,0.7235544058228113
8,816,0.8354381373795925,-0.42059454982097194,58.9824,0.6902328636676572
2,206,1.9663842535676914,-1.3633664666091343,58.9824,0.6321500882195186
1,522,0.8912160376415993,-0.56672666456759,120.14933333333332,0.4029364127680429
7,298,1.4338043112706964,-1.113681515893696,120.14933333333332,0.31238071297403663
4,62,3.2159905051042927,-2.8535342465175657,360.448,-0.4833959415646339
