timestamp,open,high,low,close,volume,turnover
2025-06-27 10:54:09.920,142.07,142.07,141.79,141.81,10218.4,1449873.801
2025-06-27 11:00:43.136,141.81,142.17,141.79,142.04,29936.1,4253003.202
2025-06-27 11:05:05.280,142.04,142.06,141.82,142.03,17331.8,2460241.625
2025-06-27 11:09:27.424,142.03,142.07,141.96,142.06,10209.2,1449950.418
2025-06-27 11:16:00.640,142.06,142.28,141.98,142.05,19957.7,2836879.165
2025-06-27 11:20:22.784,142.05,142.12,141.7,141.81,25400.4,3602967.713
2025-06-27 11:24:44.928,141.81,141.89,141.52,141.57,30095.7,4261618.492
2025-06-27 11:29:07.072,141.57,141.89,141.57,141.88,19194.2,2720532.485
2025-06-27 11:35:40.288,141.88,141.95,141.82,141.85,8980.7,1274321.746
2025-06-27 11:40:02.432,141.85,141.98,141.76,141.96,6631.6,940854.652
2025-06-27 11:44:24.576,141.96,142.05,141.76,141.98,5786.0,821308.439
2025-06-27 11:50:57.792,141.98,142.03,141.83,141.88,17400.7,2470117.692
2025-06-27 11:55:19.936,141.88,142.12,141.88,142.09,6617.0,939941.228
2025-06-27 11:59:42.080,142.09,142.18,141.99,142.07,13502.6,1918431.465
2025-06-27 12:04:04.224,142.07,142.21,141.92,142.14,8816.2,1252589.073
2025-06-27 12:10:37.440,142.14,142.26,142.04,142.24,12209.6,1735701.317
2025-06-27 12:14:59.584,142.24,142.38,142.12,142.32,16826.0,2393821.454
2025-06-27 12:19:21.728,142.32,142.75,142.32,142.58,69601.5,9922884.786
2025-06-27 12:25:54.944,142.58,142.73,142.45,142.48,31781.4,4533029.027
2025-06-27 12:30:17.088,142.48,142.53,141.51,142.08,134559.3,19093914.854
2025-06-27 12:34:39.232,142.08,142.28,141.73,141.76,49620.0,7048404.435
2025-06-27 12:39:01.376,141.76,141.92,141.58,141.64,21206.6,3006318.848
2025-06-27 12:45:34.592,141.64,141.9,141.48,141.57,17011.2,2410304.714
2025-06-27 12:49:56.736,141.57,141.68,141.23,141.43,54652.8,7731988.58
2025-06-27 12:54:18.880,141.43,141.49,141.06,141.27,67865.7,9584186.991
2025-06-27 13:00:52.096,141.27,141.57,141.09,141.49,52238.2,7384034.863
2025-06-27 13:05:14.240,141.49,141.87,141.35,141.86,39875.5,5646959.609
2025-06-27 13:09:36.384,141.86,142.17,141.81,142.08,40238.0,5712642.051
2025-06-27 13:13:58.528,142.08,142.23,141.93,142.13,22889.3,3253364.071
2025-06-27 13:20:31.744,142.13,142.14,141.84,141.88,17707.0,2513658.121
2025-06-27 13:24:53.888,141.88,141.89,141.57,141.68,29320.2,4155411.384
2025-06-27 13:29:16.032,141.68,142.26,141.51,141.93,79332.3,11255676.279
2025-06-27 13:35:49.248,141.93,142.56,141.92,142.33,86263.4,12276625.796
2025-06-27 13:40:11.392,142.33,142.37,141.96,142.13,26813.8,3811948.636
2025-06-27 13:44:33.536,142.13,142.14,141.33,141.61,114195.9,16180357.673
2025-06-27 13:48:55.680,141.61,142.0,141.35,141.97,53865.2,7628876.918
2025-06-27 13:55:28.896,141.97,142.93,141.93,142.69,86458.9,12329133.257
2025-06-27 13:59:51.040,142.69,143.24,142.39,143.22,142957.5,20423562.504
2025-06-27 14:04:13.184,143.22,143.4,142.89,142.93,98679.9,14128273.52
2025-06-27 14:10:46.400,142.93,143.09,142.28,142.32,64849.8,9252319.236
2025-06-27 14:15:08.544,142.32,142.5,141.79,141.94,111640.3,15862556.952
2025-06-27 14:19:30.688,141.94,142.36,141.78,141.78,71535.3,10162255.087
2025-06-27 14:26:03.904,141.78,142.16,141.65,141.82,54753.3,7769859.902
2025-06-27 14:30:26.048,141.82,141.98,141.36,141.43,67602.5,9576169.604
2025-06-27 14:34:48.192,141.43,142.19,141.22,141.62,53033.8,7513658.642
2025-06-27 14:39:10.336,141.62,142.04,141.54,141.97,32185.7,4564175.84
2025-06-27 14:45:43.552,141.97,142.3,141.97,142.27,18131.9,2576720.553
2025-06-27 14:50:05.696,142.27,142.32,141.54,141.93,65731.3,9318451.458
2025-06-27 14:54:27.840,141.93,141.95,141.62,141.78,22810.4,3233469.023
2025-06-27 15:01:01.056,141.78,141.78,141.52,141.61,14598.3,2067568.609
2025-06-27 15:05:23.200,141.61,142.07,141.6,142.01,20796.7,2950249.031
2025-06-27 15:09:45.344,142.01,142.24,141.9,142.12,22739.5,3230831.233
2025-06-27 15:14:07.488,142.12,142.2,141.79,142.19,19457.4,2762843.955
2025-06-27 15:20:40.704,142.19,142.44,142.08,142.32,23980.5,3412607.589
2025-06-27 15:25:02.848,142.32,142.63,142.3,142.54,15081.9,2149015.124
2025-06-27 15:29:24.992,142.54,142.65,142.39,142.5,19342.7,2756398.335
2025-06-27 15:35:58.208,142.5,142.9,142.35,142.89,36071.3,5147125.709
2025-06-27 15:40:20.352,142.89,143.38,142.89,143.31,86562.1,12393564.844
2025-06-27 15:44:42.496,143.31,143.32,142.82,143.05,46140.5,6597789.113
2025-06-27 15:49:04.640,143.05,143.83,143.0,143.73,155628.4,22331955.018
2025-06-27 15:55:37.856,143.73,143.8,143.32,143.43,57655.8,8275500.065
2025-06-27 16:00:00.000,143.43,143.59,143.1,143.4,67532.7,9675762.403
2025-06-27 16:04:22.144,143.4,143.74,143.32,143.39,56194.8,8066482.08
2025-06-27 16:10:55.360,143.39,143.43,143.04,143.11,23947.1,3430506.632
2025-06-27 16:15:17.504,143.11,143.7,143.01,143.46,98674.3,14143673.133
2025-06-27 16:19:39.648,143.46,143.5,143.17,143.31,53839.3,7717364.165
2025-06-27 16:24:01.792,143.31,143.54,143.26,143.47,27531.2,3948212.18
2025-06-27 16:30:35.008,143.47,144.83,143.43,144.33,286124.3,41281993.184
2025-06-27 16:34:57.152,144.33,144.44,143.87,144.01,67944.9,9794746.62
2025-06-27 16:39:19.296,144.01,144.01,143.7,143.79,38348.5,5517902.563
2025-06-27 16:45:52.512,143.79,144.05,143.65,144.0,33281.0,4787509.68
2025-06-27 16:50:14.656,144.0,144.11,143.76,143.86,17623.6,2536569.623
2025-06-27 16:54:36.800,143.86,143.91,143.58,143.65,25533.7,3670390.643
2025-06-27 16:58:58.944,143.65,143.8,143.09,143.12,71397.7,10236715.829
2025-06-27 17:05:32.160,143.12,143.19,142.72,142.97,59509.2,8507719.452
2025-06-27 17:09:54.304,142.97,143.04,142.64,142.69,41030.6,5861201.687
2025-06-27 17:14:16.448,142.69,143.0,142.65,142.79,12867.1,1838293.865
2025-06-27 17:20:49.664,142.79,142.92,142.6,142.62,14654.5,2091863.798
2025-06-27 17:25:11.808,142.62,142.68,142.15,142.25,103152.7,14688642.442
2025-06-27 17:29:33.952,142.25,142.31,141.98,142.3,67991.5,9664047.242
2025-06-27 17:33:56.096,142.3,142.32,141.81,141.97,46901.5,6659205.58
2025-06-27 17:40:29.312,141.97,141.97,141.42,141.46,77499.3,10983139.648
2025-06-27 17:44:51.456,141.46,141.55,140.88,141.18,210290.7,29696123.47
2025-06-27 17:49:13.600,141.18,141.52,141.02,141.42,45791.3,6468345.11
2025-06-27 17:55:46.816,141.42,141.59,140.69,141.45,64394.2,9089992.007
2025-06-27 18:00:08.960,141.45,141.66,141.19,141.28,34988.2,4949220.316
2025-06-27 18:04:31.104,141.28,141.5,141.19,141.44,16349.6,2311104.238
2025-06-27 18:11:04.320,141.44,141.61,141.23,141.3,16808.2,2376614.667
2025-06-27 18:15:26.464,141.3,141.48,140.77,140.77,32148.7,4535931.924
2025-06-27 18:19:48.608,140.77,141.37,140.71,141.26,36726.9,5176479.87
2025-06-27 18:24:10.752,141.26,141.38,140.7,140.8,23581.7,3327353.972
2025-06-27 18:30:43.968,140.8,141.12,140.53,140.98,35574.5,5009764.144
2025-06-27 18:35:06.112,140.98,141.09,140.44,140.49,44633.0,6279008.561
2025-06-27 18:39:28.256,140.49,140.59,140.26,140.46,53878.7,7564796.926
2025-06-27 18:46:01.472,140.46,140.76,140.39,140.45,29106.0,4091920.42
2025-06-27 18:50:23.616,140.45,140.71,140.01,140.29,43430.5,6095680.6
2025-06-27 18:54:45.760,140.29,140.59,140.12,140.57,21546.2,3024604.699
2025-06-27 18:59:07.904,140.57,140.93,140.41,140.92,22261.2,3130890.35
2025-06-27 19:05:41.120,140.92,141.42,140.84,141.26,80118.6,11313583.264
2025-06-27 19:10:03.264,141.26,141.35,140.91,141.06,17006.3,2400636.528
2025-06-27 19:14:25.408,141.06,141.15,140.79,141.13,62234.9,8770505.163
2025-06-27 19:20:58.624,141.13,141.34,140.94,141.12,27002.7,3810856.125
2025-06-27 19:25:20.768,141.12,141.17,140.89,140.99,14513.0,2047080.841
2025-06-27 19:29:42.912,140.99,141.16,140.63,140.95,62760.5,8839704.325
2025-06-27 19:34:05.056,140.95,141.13,140.94,141.05,10419.0,1469561.591
2025-06-27 19:40:38.272,141.05,141.35,141.03,141.29,38549.1,5444393.153
2025-06-27 19:45:00.416,141.29,141.83,141.24,141.52,113788.9,16105824.15
2025-06-27 19:49:22.560,141.52,141.93,141.5,141.88,33688.0,4774629.478
2025-06-27 19:55:55.776,141.88,141.98,141.68,141.69,26643.8,3779152.246
2025-06-27 20:00:17.920,141.69,142.04,141.54,141.84,41091.5,5826557.579
2025-06-27 20:04:40.064,141.84,142.51,141.84,142.37,43223.9,6148036.225
2025-06-27 20:09:02.208,142.37,142.6,142.14,142.14,33099.2,4715002.501
2025-06-27 20:15:35.424,142.14,142.4,142.1,142.16,11047.3,1571562.953
2025-06-27 20:19:57.568,142.16,142.25,142.03,142.12,18229.6,2590863.407
2025-06-27 20:24:19.712,142.12,142.25,141.98,142.19,17929.7,2549201.906
2025-06-27 20:30:52.928,142.19,142.41,142.12,142.41,9373.8,1333631.254
2025-06-27 20:35:15.072,142.41,142.45,142.14,142.38,6659.2,947509.84
2025-06-27 20:39:37.216,142.38,142.58,142.3,142.46,13171.7,1876636.79
2025-06-27 20:43:59.360,142.46,142.79,142.38,142.68,22139.9,3157025.977
2025-06-27 20:50:32.576,142.68,142.83,142.52,142.55,17464.3,2492043.106
2025-06-27 20:54:54.720,142.55,142.83,142.39,142.81,13414.3,1913140.324
2025-06-27 20:59:16.864,142.81,142.84,142.54,142.62,13483.1,1923679.681
2025-06-27 21:05:50.080,142.62,142.83,142.56,142.72,9525.1,1359109.884
2025-06-27 21:10:12.224,142.72,142.85,142.49,142.65,21566.7,3077198.862
2025-06-27 21:14:34.368,142.65,142.81,142.54,142.57,8835.6,1260681.385
2025-06-27 21:18:56.512,142.57,142.65,142.29,142.49,19821.8,2824528.679
