entry_ts,exit_ts,pnl_pct
2025-06-14 00:00:00+00:00,2025-06-14 13:00:00+00:00,0.32270964614638076
2025-06-14 13:00:00+00:00,2025-06-14 15:30:00+00:00,-1.0
2025-06-14 15:00:00+00:00,2025-06-14 16:30:00+00:00,-1.0
2025-06-14 17:00:00+00:00,2025-06-14 17:30:00+00:00,0.47183879714074184
2025-06-15 13:30:00+00:00,2025-06-15 14:30:00+00:00,0.10297721146777195
2025-06-19 08:00:00+00:00,2025-06-19 09:00:00+00:00,0.25
2025-06-19 09:00:00+00:00,2025-06-19 09:30:00+00:00,0.43759379689844524
2025-06-22 20:30:00+00:00,2025-06-22 21:00:00+00:00,1.2632282578103022
2025-06-24 08:00:00+00:00,2025-06-24 09:00:00+00:00,0.11328610489684166
2025-06-24 19:30:00+00:00,2025-06-24 20:30:00+00:00,0.3363131935881697
2025-06-25 02:00:00+00:00,2025-06-25 02:30:00+00:00,0.3241106719367617
2025-06-27 01:00:00+00:00,2025-06-27 01:30:00+00:00,0.6508275148694096
2025-06-27 14:30:00+00:00,2025-06-27 15:30:00+00:00,0.1984801648634724
2025-06-28 07:30:00+00:00,2025-06-28 09:30:00+00:00,0.22456765005086748
2025-06-28 09:30:00+00:00,2025-06-28 10:00:00+00:00,0.4535623409669213
2025-06-30 16:30:00+00:00,2025-06-30 17:00:00+00:00,0.4458384332925338
2025-07-02 01:00:00+00:00,2025-07-02 01:30:00+00:00,0.5567484662576689
